category,code
Cecilia Dale,1063
Cedric Burnside,1064
CeeLo Green,1065
Celesty,1066
Celia Cruz,1067
Celldweller,1068
Celly Cel,1069
Celso Piña,1070
Cemetery Sun,1071
Cerrone,1072
Cesqeaux,1073
Chace,1074
Chad Brownlee,1075
Chairlift,1076
Chaka Demus & Pliers,1077
Chamillionaire,1078
Champagne Drip,1079
Champion Jack Dupree,1080
Chance the Rapper,1081
Chantal Chamberland,1082
Charles Daellenbach,1083
Charles Gounod,1084
Charles Ives,1085
Charles Kelley,1086
Charles Lloyd & The Marvels,1087
Charles Mingus,1088
Charles Wright & The Watts 103rd Street Rhythm Band,1089
Charley Crockett,1090
Charley Patton,1091
Charley Pride,1092
Charlie Daniels,1093
Charlie Farley,1094
Charlie Haden,1095
Charlie Heat,1096
Charlie Hunter,1097
Charlie Musselwhite,1098
Charlie Parker,1099
Charlie Parker Quartet,1100
Charlie Parker Quintet,1101
Charlie Parr,1102
Charlie Patton's War,1103
Charlie Rich,1104
Charlie Robison,1105
Charlie Worsham,1106
Charlotte Day Wilson,1107
Charlotte Dos Santos,1108
Chase & Status,1109
Chase Bryant,1110
Chase Fouraker,1111
Chase Rice,1112
Chastity Belt,1113
Chaz French,1114
Cheap Trick,1115
Chelou,1116
Chely Wright,1117
Cheo Feliciano,1118
Cher Lloyd,1119
Chet Atkins,1120
Chet Baker,1121
Chevelle,1122
Chiaki Ishikawa,1123
Chicago,1124
Chicago Symphony Orchestra,1125
Chick Corea,1126
Chick Corea Elektric Band,1127
Chick Webb,1128
Chicken Shack,1129
Chickenfoot,1130
Chiddy Bang,1131
Chief Keef,1132
Chieli Minucci,1133
Childish Gambino,1134
Childish Major,1135
Children Of Bodom,1136
Chimbala,1137
Chinese Man,1138
Chingy,1139
Chip,1140
Chloe x Halle,1141
ChocQuibTown,1142
Choker,1143
Chon,1144
Chord Overstreet,1145
Chris August,1146
Chris Bandi,1147
Chris Botti,1148
Chris Brown,1149
Chris Buck Band,1150
Chris Cagle,1151
Chris Cornell,1152
Chris Dave and The Drumhedz,1153
Chris Duarte,1154
Chris Janson,1155
Chris Jeday,1156
Chris Joss,1157
Chris Knight,1158
Chris Lake,1159
Chris Lane,1160
Chris LeDoux,1161
Chris Potter,1162
Chris Rea,1163
Chris Robinson Brotherhood,1164
Chris Smither,1165
Chris Standring,1166
Chris Stapleton,1167
Chris Thile,1168
Chris Tomlin,1169
Chris Travis,1170
Chris Webby,1171
Chris Young,1172
Christian French,1173
Christian Löffler,1174
Christian McBride,1175
Christian Scott aTunde Adjuah,1176
Christie Lamb,1177
Christina Aguilera,1178
Christina Taylor,1179
Christine D'Clario,1180
Christon Gray,1181
Christoph Willibald Gluck,1182
Christophe,1183
Christopher Blake,1184
Christopher Cross,1185
Christy Nockels,1186
Chromatics,1187
Chromeo,1188
Chucho Valdés,1189
Chuck Berry,1190
Chuck Jackson,1191
Chuck Loeb,1192
Chuck Mangione,1193
Chuck Wicks,1194
Chuck Willis,1195
Chuuwee,1196
Ciara,1197
Cinderella,1198
Cindy Bradley,1199
Citizen,1200
Citizen Way,1201
City Harbor,1202
City Morgue,1203
Claes Rosen,1204
Clap Your Hands Say Yeah,1205
Clare Dunn,1206
"Clarence ""Frogman"" Henry",1207
"Clarence ""Gatemouth"" Brown",1208
Clarence Carter,1209
ClariS,1210
Clark,1211
Claude Debussy,1212
Claude Nougaro,1213
Claudio Arrau,1214
Claudio Monteverdi,1215
Clay Walker,1216
Clifford Brown,1217
Climax Blues Band,1218
Clint Black,1219
Clipse,1220
Cloudkicker,1221
Club Kuru,1222
Club des Belugas,1223
Clutch,1224
Clyde McPhatter,1225
Coachwhips,1226
Coal Chamber,1227
Coast Modern,1228
Cobi,1229
Coco Montoya,1230
Coconut Records,1231
Cocteau Twins,1232
Coda,1233
Cody Jinks,1234
Cody Johnson,1235
Coheed and Cambria,1236
Col3trane,1237
Colbie Caillat,1238
Cold,1239
Cold California,1240
Cold Creek County,1241
Cold War Kids,1242
Coldcut,1243
Cole Swindell,1244
Cole Taylor,1245
Coleman Hawkins,1246
Coleman Hell,1247
Colicchie,1248
